nome,endereco,cidade,uf,cep,telefone,latitude,longitude
APS Itaúna,"Rua Dr. José Gonçalves, 258, Centro, Itaúna - Mg",Itaúna,MG,,,-20.07527,-44.57517199999999
APS Oliveira,"Avenida Maracanã 914, Centro, Oliveira - Mg",Oliveira,MG,,,-20.6916383,-44.8276227
APS Pará De Minas,"Rua Benedito Valadares, 266, Centro, Pará De Minas - Mg",Pará De Minas,MG,,,-19.8638095,-44.6059261
APS Passos,"Rua Coronel Neca Medeiros 164, Centro, Passos - Mg",Passos,MG,,,-20.7201813,-46.6104349
APS São Sebastião Do Paraíso,"Rua Dr. Placidino Brigagão 1194, Centro, São Sebastião Do Paraíso - Mg",São Sebastião Do Paraíso,MG,,,-20.9181041,-46.9918225
APS Abaeté,"Avenida Dr. Guido Nº 740, Centro, Abaeté - Mg",Abaeté,MG,,,-19.1568815,-45.4524182
APS Bambuí,"Av. Armando Franco Nº 183, Centro, Bambuí - Mg",Bambuí,MG,,,-20.0106893,-45.978044
APS Cássia,"Rua Monsenhor Geraldo, 301, Centro, Cássia - Mg",Cássia,MG,,,-20.5826511,-46.9186241
APS Dores Do Indaiá,"Pr Prof. Waldemar De Almeida Barbosa, 19, Centro, Dores Do Indaiá - Mg",Dores Do Indaiá,MG,,,-19.4702372,-45.6103659
APS Lagoa Da Prata,"Rua Luiz Guadalupe, 300, Centro, Lagoa Da Prata - Mg",Lagoa Da Prata,MG,,,-20.01964,-45.5432127
APS Pitangui,"Praça Da Câmara, 14, Centro, Pitangui - Mg",Pitangui,MG,,,-19.6820381,-44.8892089
APS Piumhi,"Rua Bossuet Costa 181, Centro, Piumhi - Mg",Piumhi,MG,,,-20.4709852,-45.9610239
APS Nova Serrana,,Nova Serrana,MG,,,-19.8861288,-44.9811147
APS Arcos,"Rua Jarbas Ferreira Pires, 201, Centro, Arcos - Mg",Arcos,MG,,,-20.2850731,-45.5398065
APS Claudio,"Rua Lambari, 95, Centro, Claudio - Mg",Claudio,MG,,,-20.4408385,-44.7637989
APS Monte Santo De Minas,"Avenida Vital Paulino Da Costa 1420, Centro, Monte Santo De Minas - Mg",Monte Santo De Minas,MG,,,-21.187902,-46.9788593
APS Mateus Leme,"Avenida Getúlio Vargas 710, Centro, Mateus Leme - Mg",Mateus Leme,MG,,,-19.9918436,-44.4337486
APS Santo Antonio Do Monte,,Santo Antonio Do Monte,MG,,,,
APS Aimorés,"Rua Coronel Antonio Lobo 245, Centro, Aimorés - Mg",Aimorés,MG,,,-19.4938306,-41.0635995
APS Caratinga,"Rua João Pinheiro, 60, Centro, Caratinga - Mg",Caratinga,MG,,,-19.7898705,-42.1421602
APS Coronel Fabriciano,"Rua Boa Vista, 116, Centro, Coronel Fabriciano - Mg",Coronel Fabriciano,MG,,,-19.5296745,-42.6264851
APS Governador Valadares,"Rua Afonso Pena, 3016, Centro, Governador Valadares - Mg",Governador Valadares,MG,,,-18.8553874,-41.9483853
APS Ipatinga,"Rua Poços De Caldas, 15, Centro, Ipatinga - Mg",Ipatinga,MG,,,-19.4807683,-42.5250681
APS Manhuaçu,"Av. Barão Rio Branco 94, Bom Pastor, Manhuaçu - Mg",Manhuaçu,MG,,,-21.7404658,-43.3552905
APS Peçanha,"Av. Dos Bragas, 47, Centro, Peçanha - Mg",Peçanha,MG,,,-18.5478035,-42.56014709999999
APS Timóteo,"Rua 05 De Março, 37, Centro, Timóteo - Mg",Timóteo,MG,,,-19.5388496,-42.6487348
APS Inhapim,"Rua Coronel Antonio Fernandes, 100, Centro, Inhapim - Mg",Inhapim,MG,,,-19.5508576,-42.1213986
APS Mantena,"Av. Getulio Vargas, 53, Centro, Mantena - Mg",Mantena,MG,,,-18.7804566,-40.9820354
APS Conselheiro Pena,"Rua Maria Francisca De Jesus, 112, Centro, Conselheiro Pena - Mg",Conselheiro Pena,MG,,,-19.1735404,-41.47232150000001
APS Manhumirim,"Rua Nova Esperança - S/N, Centro, Manhumirim - Mg",Manhumirim,MG,,,-20.351833,-41.9602943
APS Mutum,"Rua Coronel Brandão, 80, Centro, Mutum - Mg",Mutum,MG,,,-19.818691,-41.437756
APS Santa Maria Do Suaçuí,"Rua Domingos Petrucelli, Centro, Santa Maria Do Suaçuí - Mg",Santa Maria Do Suaçuí,MG,,,-29.6882192,-53.8047376
APS São João Evangelista,"Av. 1º De Junho, 1470, Centro, São João Evangelista - Mg",São João Evangelista,MG,,,-18.550852,-42.764384
APS Belo Oriente,"Pça Severo Lourenço Da Costa, Centro, Belo Oriente - Mg",Belo Oriente,MG,,,-19.919168,-43.9386558
APS Carangola,"Rua Pedro De Oliveira, 427, Centro, Carangola - Mg",Carangola,MG,,,-20.7315035,-42.0339297
APS Cataguases,"Rua Coronel Vieira, 140, Centro, Cataguases - Mg",Cataguases,MG,,,-21.3879906,-42.6963173
APS Juiz De Fora - São Dimas,"Av. Brasil - 9501, Mariano Procopio, Juiz De Fora - Mg",Juiz De Fora,MG,,,-21.7446395,-43.3598429
APS Juiz De Fora - Largo Do Riachuelo,"Rua Santo Antonio - 115, Centro, Juiz De Fora - Mg",Juiz De Fora,MG,,,-21.7543865,-43.3528338
APS Leopoldina,"Rua Dr. Antonio De Oliveira Guimarães 26, Centro, Leopoldina - Mg",Leopoldina,MG,,,-21.5374109,-42.63883999999999
APS Muriaé,"Rua Antonio Canedo, Centro, Muriaé - Mg",Muriaé,MG,,,-21.1319154,-42.3651143
APS Além Paraíba,,Além Paraíba,MG,,,-21.8835588,-42.6973522
APS Palma,"Rua Paula Freitas, 98, Centro, Palma - Mg",Palma,MG,,,-21.3778871,-42.3164171
APS Recreio,"Rua Tenente Joaquim Pereira, 184, Centro, Recreio - Mg",Recreio,MG,,,-21.5237523,-42.47293850000001
APS São João Nepomuceno,"Rua Capitão Basílio, 152, Centro, São João Nepomuceno - Mg",São João Nepomuceno,MG,,,-21.5338872,-43.0133525
