NOME, ENDERECO, CIDADE, UF, CEP, TELEFONE, LATITUDE, LONGITUDE
"APS OURO BRANCO/MG,""AVENIDA CECÍLIA NEIVA DO CARMO, Nº 150"",OURO BRANCO,MG,,,,"
"APS SANTOS DUMONT,""RUA MANOEL DE PAULA, 30"",SANTOS DUMONT,MG,,,-21.4575598,-43.5506268"
"APS SÃO JOÃO DEL REI,""AVENIDA TIRADENTES, 684"",SÃO JOÃO DEL REI,MG,,,-21.1367161,-44.2604529"
"APS UBÁ,""RUA SANTA CRUZ, 169"",UBÁ,MG,,,-21.1213728,-42.94360169999999"
"APS VIÇOSA/MG,""RUA DR. MILTON BANDEIRA, 160"",VIÇOSA,MG,,,-20.7527526,-42.8801555"
"APS VISCONDE DO RIO BRANCO,""AV. DR CARLOS SOARES, 414"",VISCONDE DO RIO BRANCO,MG,,,-21.0102904,-42.8357404"
"APS CARANDAÍ,""RUA CÔNEGO COTA, 83 - S/L"",CARANDAÍ,MG,,,-20.953732,-43.805497"
APS BETIM,R INCONFIDENTES - 273,BETIM,MG,,,-19.9630734,-44.1910789
"APS CONTAGEM,""R BERNARDO MONTEIRO,400"",CONTAGEM,MG,,,-19.9142026,-44.0887889"
"APS PEDRO LEOPOLDO,""RUA DIRCEU LOPES, 278"",PEDRO LEOPOLDO,MG,,,-19.6234054,-44.03761069999999"
APS RIBEIRÃO DAS NEVES,R JOSE LEAO PAPA,RIBEIRÃO DAS NEVES,MG,,,-19.7694096,-44.0867358
"APS SANTA LUZIA/MG,""RUA FRANCISCO VIANA DOS SANTOS, 63"",SANTA LUZIA,MG,,,-19.7663404,-43.8430012"
"APS SETE LAGOAS,""RUA LUIZ PRIVAT,59"",SETE LAGOAS,MG,,,-19.4577446,-44.2444083"
"APS VESPASIANO,""RUA PREFEITO SEBASTIÃO FERNANDES,725"",VESPASIANO,MG,,,-19.6946985,-43.9187494"
"APS BRUMADINHO,""RUA JOSÉ DA SILVA FERNANDES,81"",BRUMADINHO,MG,,,,"
"APS MATOZINHOS,""R.PADRE FRANCISCO VIEIRA CHAVES,40"",MATOZINHOS,MG,,,-19.5598627,-44.0793911"
"APS IBIRITÉ,""RUA SÃO PAULO, 951 - VILA DO ROSÁRIO"",IBIRITÉ,MG,,,,"
APS LAGOA SANTA/MG,AV. ENGENHEIRO VICENTE DE FREITAS. 200,LAGOA SANTA,MG,,,-19.6297385,-43.9032238
APS POMPÉU,RUA ANTONIO LACERDA,POMPÉU,MG,,,-19.2165906,-45.0044528
"APS BOM DESPACHO,""AV. ARI MARQUES PEREIRA, 190"",BOM DESPACHO,MG,,,-19.734564,-45.25397599999999"
"APS DIVINÓPOLIS,""AV GETULIO VARGAS, 342"",DIVINÓPOLIS,MG,,,-20.1462736,-44.886722"
"APS FORMIGA,""RUA DOS VIAJANTES, 11"",FORMIGA,MG,,,-20.4635574,-45.4309691"
"APS ITAÚNA,""RUA DR. JOSÉ GONÇALVES, 258"",ITAÚNA,MG,,,-20.07527,-44.57517199999999"
APS OLIVEIRA,AVENIDA MARACANÃ 914,OLIVEIRA,MG,,,-20.6916383,-44.8276227
"APS PARÁ DE MINAS,""RUA BENEDITO VALADARES, 266"",PARÁ DE MINAS,MG,,,-19.8638095,-44.6059261"
APS PASSOS,R CORONEL NECA MEDEIROS 164,PASSOS,MG,,,-20.7201813,-46.6104349
APS SÃO SEBASTIÃO DO PARAÍSO,RUA DR. PLACIDINO BRIGAGÃO 1194,SÃO SEBASTIÃO DO PARAÍSO,MG,,,-20.9181041,-46.9918225
APS ABAETÉ,AVENIDA DR. GUIDO Nº 740,ABAETÉ,MG,,,-19.1568815,-45.4524182
APS BAMBUÍ,AV. ARMANDO FRANCO Nº 183,BAMBUÍ,MG,,,-20.0106893,-45.978044
"APS CÁSSIA,""RUA MONSENHOR GERALDO, 301"",CÁSSIA,MG,,,-20.5826511,-46.9186241"
"APS DORES DO INDAIÁ,""PR PROF. WALDEMAR DE ALMEIDA BARBOSA, 19"",DORES DO INDAIÁ,MG,,,-19.4702372,-45.6103659"
"APS LAGOA DA PRATA,""RUA LUIZ GUADALUPE, 300"",LAGOA DA PRATA,MG,,,-20.01964,-45.5432127"
"APS PITANGUI,""PRAÇA DA CÂMARA, 14"",PITANGUI,MG,,,-19.6820381,-44.8892089"
APS PIUMHI,RUA BOSSUET COSTA 181,PIUMHI,MG,,,-20.4709852,-45.9610239
"APS NOVA SERRANA,""AVENIDA DOM CABRAL, 95"",NOVA SERRANA,MG,,,,"
"APS ARCOS,""RUA JARBAS FERREIRA PIRES, 201"",ARCOS,MG,,,-20.2850731,-45.5398065"
"APS CLAUDIO,""RUA LAMBARI, 95"",CLAUDIO,MG,,,-20.4408385,-44.7637989"
APS MONTE SANTO DE MINAS,AVENIDA VITAL PAULINO DA COSTA 1420,MONTE SANTO DE MINAS,MG,,,-21.187902,-46.9788593
APS MATEUS LEME,AVENIDA GETÚLIO VARGAS 710,MATEUS LEME,MG,,,-19.9918436,-44.4337486
APS SANTO ANTONIO DO MONTE,RUA SANTOS DUMONT 288,SANTO ANTONIO DO MONTE,MG,,,,
APS AIMORÉS,RUA CORONEL ANTONIO LOBO 245,AIMORÉS,MG,,,-19.4938306,-41.0635995
"APS CARATINGA,""RUA JOÃO PINHEIRO, 60"",CARATINGA,MG,,,-19.7898705,-42.1421602"
"APS CORONEL FABRICIANO,""RUA BOA VISTA , 116"",CORONEL FABRICIANO,MG,,,-19.5296745,-42.6264851"
"APS GOVERNADOR VALADARES,""RUA AFONSO PENA, 3016"",GOVERNADOR VALADARES,MG,,,-18.8553874,-41.9483853"
"APS IPATINGA,""RUA POÇOS DE CALDAS, 15"",IPATINGA,MG,,,-19.4807683,-42.5250681"
APS MANHUAÇU,AV. BARÃO RIO BRANCO 94,MANHUAÇU,MG,,,-21.7404658,-43.3552905
"APS PEÇANHA,""AV. DOS BRAGAS, 47"",PEÇANHA,MG,,,-18.5478035,-42.56014709999999"
