NOME, ENDERECO, CIDADE, UF, CEP, TELEFONE, LATITUDE, LONGITUDE
APS NOVO CRUZEIRO,RUA INACIO BAHIA,NOVO CRUZEIRO,MG,,,-17.4646965,-41.8951225
"APS ABAETETUBA,""AV. D. PEDRO II,538"",ABAETETUBA,PA,,,,"
APS BELÉM - COSTA E SILVA,AV NAZARE - 79 - 1º ANDAR- SALA 105,BELÉM,PA,,,-1.4533801,-48.491912
"APS BELÉM - ICOARACÍ,""RUA CEL. JUVÊNCIO SARMENTO, 1426"",BELÉM,PA,,,-1.3053087,-48.4815165"
"APS BELÉM - JURUNAS,""AV.ROBERTO CAMELIER ,1080"",BELÉM,PA,,,-1.4690561,-48.48707779999999"
"APS BELÉM - MARCO,""PASS. LINDOLFO COLLOR, S/Nº"",BELÉM,PA,,,-1.4308953,-48.4530479"
"APS BELÉM - NAZARÉ,""AV NAZARE, Nº 79"",BELÉM,PA,,,-1.4533801,-48.491912"
"APS BELÉM - PEDREIRA,""AV PEDRO MIRANDA, 1060"",BELÉM,PA,,,-1.4305143,-48.4732425"
"APS BELÉM - SÃO BRAZ,""PASSAGEM LINDOLFO COLLOR,S/Nº"",BELÉM,PA,,,-1.4308953,-48.4530479"
"APS BELÉM - TELÉGRAFO,""AV. SENADOR LEMOS, 1583"",BELÉM,PA,,,-1.4295253,-48.4854555"
APS BRAGANÇA,AV.NAZEAZENO FERREIRA S/Nº,BRAGANÇA,PA,,,-1.0557032,-46.7667202
"APS CAMETÁ,""RUA ADILSON MACHADO, S/N"",CAMETÁ,PA,,,-2.2423666,-49.4994005"
"APS CAPANEMA/PA,""RUA DOIS DE JUNHO, SN"",CAPANEMA,PA,,,-1.1941405,-47.1812456"
"APS CASTANHAL,""TV CONEGO LUIS LEITAO, 1817"",CASTANHAL,PA,,,-1.2964187,-47.9273782"
"APS BREVES,""RUA CAPITÂO ASSIS , 299"",BREVES,PA,,,-1.6749668,-50.48018380000001"
APS MOSQUEIRO,AV. JOAQUIM PEREIRA DE QUEIROZ S/N,MOSQUEIRO,PA,,,-1.1421454,-48.4611518
"APS PARAGOMINAS,""RUA SANTARÉM, 744, PRAÇA 3 IRMÃOS"",PARAGOMINAS,PA,,,-3.0012669,-47.3539341"
"APS SANTA IZABEL,""AV. FRANCISCO AMÂNCIO,1157"",SANTA IZABEL,PA,,,-1.2979627,-48.16180929999999"
APS ANANINDEUA,ARTÉRIA A-18 - CIDADE NOVA IV/V,ANANINDEUA,PA,,,-1.3601755,-48.4075528
"APS VIGIA,""RODOVIA PA - 412, KM 2"",VIGIA,PA,,,,"
APS VISEU,AV. JUSTO CHERMONT S/N,VISEU,PA,,,-1.2045173,-46.1413389
APS SÃO SEBASTIÃO DA BOA VISTA,AV. DA BOA VISTA S/N,SÃO SEBASTIÃO DA BOA VISTA,PA,,,,
APS CURUÇÁ,RUA GENERAL FERREIRA S/N,CURUÇÁ,PA,,,-0.7333584999999999,-47.8536893
APS GARRAFÃO DO NORTE,RUA SERGIO MOTA SETOR 2 QUADRA 84,GARRAFÃO DO NORTE,PA,,,-1.931388,-47.0451735
"APS SALINÓPOLIS,""TRAVESSA TIRADENTES, Nº 66"",SALINÓPOLIS,PA,,,-1.7271175,-48.8917699"
"APS IGARAPÉ-AÇU,""AV, BARÃO DO RIO BRANCO, S/N"",IGARAPÉ-AÇU,PA,,,-1.1287181,-47.618546"
"APS CONCEIÇÃO DO ARAGUAIA,""AV. JUSCELINO KUBITSCHEK, 2650"",CONCEIÇÃO DO ARAGUAIA,PA,,,-8.260611599999999,-49.2631971"
APS GOIANÉSIA DO PARÁ,RUA DA PAZ S/N,GOIANÉSIA DO PARÁ,PA,,,,
"APS MARABÁ,""RUA AGROPOLIS DO AMAPÁ, S/N"",MARABÁ,PA,,,-5.374607999999999,-49.1335172"
APS OURILÂNDIA DO NORTE,RUA KAJAPÔS,OURILÂNDIA DO NORTE,PA,,,,
APS PARAUAPEBAS,RUA 24 DE MARÇO Nº 40,PARAUAPEBAS,PA,,,-6.0757872,-49.8935932
APS REDENÇÃO/PA,RUA ENGENHEIRO LUIZ ESTEVÃO S/N,REDENÇÃO/PA,PA,,,-8.039977,-50.0415804
APS SÃO GERALDO DO ARAGUAIA,TRAVESSA ADMINISTRATIVA S/N,SÃO GERALDO DO ARAGUAIA,PA,,,-6.392775299999999,-48.5630085
APS TUCURUÍ,AV. SETE DE SETEMBRO S/N,TUCURUÍ,PA,,,-3.769948,-49.6691672
"APS XINGUARA,""RUA PEDRO ALVARES CABRAL, QUADRA 16"",XINGUARA,PA,,,-7.1107261,-49.9537396"
"APS ALENQUER,""RUA DR. PEDRO VICENTE, S/Nº"",ALENQUER,PA,,,-1.9542565,-54.7394623"
APS ALTAMIRA,AV BRIGADEIRO EDUARDO GOMES,ALTAMIRA,PA,,,-3.2165713,-52.2167225
APS ITAITUBA,AV MARECHAL RONDON,ITAITUBA,PA,,,-4.2647341,-55.991954
APS SANTARÉM,R FLORIANO PEIXOTO,SANTARÉM,PA,,,-2.4184187,-54.7141746
APS PORTO DE MOZ,TRAVESSA DUQUE DE CAXIAS SN,PORTO DE MOZ,PA,,,-1.7518049,-52.2338065
APS NOVO PROGRESSO,RUA ITAITUBA SN,NOVO PROGRESSO,PA,,,-7.0303242,-55.415243
APS BAYEUX,AV. LIBERDADE - 4230,BAYEUX,PB,,,-7.125510999999999,-34.931068
"APS GUARABIRA,""RUA SABINIANO MAIA, 903"",GUARABIRA,PB,,,-6.8552019,-35.4881401"
APS ITABAIANA/PB,AV. PREF. ANTONIO BATISTA SANTIAGO S/ Nº,ITABAIANA,PB,,,-7.3337253,-35.3434821
"APS JOÃO PESSOA - BELA VISTA,""RUA BARÃO DO TRIUNFO,307"",JOÃO PESSOA,PB,,,-7.116064700000001,-34.8883787"
"APS JOÃO PESSOA - CENTRO,""R BARAO DO ABIAI, 73"",JOÃO PESSOA,PB,,,-7.1417255,-34.9717085"
"APS JOÃO PESSOA - CIDADÃ,""R DEPUTADO ODON BEZERRA,100"",JOÃO PESSOA,PB,,,-7.1155833,-34.8808997"
"APS JOÃO PESSOA - TAMBAUZINHO,""RUA JUIZ OVIDIO GOUVEIA, S/N"",JOÃO PESSOA,PB,,,-7.1174869,-34.8461379"
"APS JOÃO PESSOA - SUL,""RUA PAULINO DOS SANTOS COELHO,30"",JOÃO PESSOA,PB,,,-7.1596369,-34.8379292"
"APS RIO TINTO,""RUA DA AURORA, S/N"",RIO TINTO,PB,,,-6.8043388,-35.0791006"
APS SANTA RITA/PB,RUA FLAVIO RIBEIRO COUTINHO,SANTA RITA,PB,,,-7.124674,-34.9131307
"APS SOLÂNEA,""RUA CELSO CIRNE, 344"",SOLÂNEA,PB,,,-6.7574027,-35.6572052"
"APS CUITÉ,""RUA PETRÔNIO FIGUEREDO, S/N"",CUITÉ,PB,,,-7.130829,-34.9329993"
"APS ESPERANÇA,""RUA MANOEL RODRIGUES, 31"",ESPERANÇA,PB,,,-7.020402799999999,-35.857616"
"APS CABEDELO,""RUA POMPEU HENRIQUE CAVALCANTE, 263"",CABEDELO,PB,,,-6.9716419,-34.8340191"
"APS SAPÉ,""PRAÇA DR. JOÃO URSULO,124 - CENTRO"",SAPÉ,PB,,,-7.093262999999999,-35.2332674"
"APS PEDRAS DE FOGO,""RUA SEVERINO BORGES, S/N"",PEDRAS DE FOGO,PB,,,-7.4002957,-35.1135182"
APS BANANEIRAS,RUA ANTONIO COUTINHO - 44,BANANEIRAS,PB,,,-6.7542469,-35.6323066
"APS ALAGOA GRANDE,""RUA PRESIDENTE JOÃO PESSOA, S/N"",ALAGOA GRANDE,PB,,,-7.0410598,-35.627912"
"APS MARI,""RUA COSTA E SILVA, S/N"",MARI,PB,,,-7.119561399999999,-34.8817282"
APS AREIA,R. AURELIO DE FIGUEIREDO,AREIA,PB,,,-6.9714528,-35.6937494
"APS CAJAZEIRAS,""AV. COMANDANTE VITAL ROLIM, 750"",CAJAZEIRAS,PB,,,-6.8877294,-38.5560027"
"APS CAMPINA GRANDE - CATOLÉ,""RUA VIGÁRIO CALIXTO, 418"",CAMPINA GRANDE,PB,,,-7.230804,-35.880986"
"APS CAMPINA GRANDE - DINAMÉRICA,""AV. DINAMÉRICA ALVES CORREIA, S/N"",CAMPINA GRANDE,PB,,,-7.2350913,-35.9107433"
"APS CAMPINA GRANDE - TIRADENTES,""RUA CORONEL JOÃO LOURENÇO PORTO, 89"",CAMPINA GRANDE,PB,,,-7.220186,-35.8824234"
"APS CATOLÉ DO ROCHA,""RUA FRANCISCO MAIA, S/N"",CATOLÉ DO ROCHA,PB,,,-6.3419587,-37.7477451"
"APS ITAPORANGA/PB,""RUA IRINEU RODRIGUES DA SILVA, 116"",ITAPORANGA,PB,,,-7.307481699999999,-38.1537298"
"APS PATOS,""RUA JARBAS MOURA COSTA, 26"",PATOS,PB,,,-7.0160262,-37.2876593"
"APS POMBAL,""RUATABELIÃO JOSÉ VIEIRA, S/N"",POMBAL,PB,,,-6.7747123,-37.7975135"
"APS SOUSA,""RUA DR. JOSÉ MARIZ, 22"",SOUSA,PB,,,-6.7598444,-38.2319967"
"APS TEIXEIRA,""RUA TEODORO NUNES DA COSTA, S/N"",TEIXEIRA,PB,,,-7.2273501,-37.2517328"
"APS BONITO DE SANTA FÉ,""RUA JOSÉ ARRUDA DE SOUZA, SN"",BONITO DE SANTA FÉ,PB,,,-7.3141501,-38.5164092"
"APS MONTEIRO,""AV. RAFAEL SEBASTIÃO, 53"",MONTEIRO,PB,,,-7.8983693,-37.1205707"
"APS PRINCESA ISABEL,""RUA ANTÔNIO PESSOA, 236"",PRINCESA ISABEL,PB,,,-7.736212999999999,-37.9916986"
"APS SANTA LUZIA/PB,""RUA QUIEZINHO FERNANDES, S/N"",SANTA LUZIA,PB,,,,"
"APS SERRA BRANCA,""RUA DEP. ÀLVARO GAUDÊNCIO, 50"",SERRA BRANCA,PB,,,-7.1145383,-34.8643219"
"APS SÃO BENTO/PB,""RUA ANDREAZZA DE OLIVEIRA, S/N"",SÃO BENTO,PB,,,-6.4942971,-37.4516035"
"APS QUEIMADAS/PB,""RUA ODILON ALMEIDA BARRETO, SN"",QUEIMADAS,PB,,,-7.3656301,-35.9048416"
"APS CURITIBA - CÂNDIDO LOPES,""RUA CÂNDIDO LOPES, 270"",CURITIBA,PR,,,-25.4311173,-49.2749372"
"APS CURITIBA - HAUER,""RUA WALDEMAR KOST, 706"",CURITIBA,PR,,,-25.4824294,-49.2460835"
APS CURITIBA - VISCONDE DE GUARAPUAVA,TRAVESSA DA LAPA,CURITIBA,PR,,,-25.4337851,-49.2662007
"APS CURITIBA - XV DE NOVEMBRO,""RUA XV DE NOVEMBRO, 760 - TÉRREO"",CURITIBA,PR,,,-25.429425,-49.26679009999999"
"APS PARANAGUÁ,""PRAÇA JOÃO GUALBERTO, 267"",PARANAGUÁ,PR,,,-25.5167056,-48.50709759999999"
APS ARAUCÁRIA,RUA MANOEL RIBAS 185,ARAUCÁRIA,PR,,,-25.5828612,-49.3968443
APS SÃO JOSÉ DOS PINHAIS,RUA JOINVILLE - 2643,SÃO JOSÉ DOS PINHAIS,PR,,,-25.5488453,-49.1963781
APS COLOMBO,RUA XV DE NOVEMBRO 236 - FUNDOS,COLOMBO,PR,,,-25.2919904,-49.2256218
APS FAZENDA RIO GRANDE,RUA EGITO 426,FAZENDA RIO GRANDE,PR,,,-25.6548549,-49.3069521
APS CAMPO LARGO,R JOAQUIM RIBAS DE ANDRADE,CAMPO LARGO,PR,,,-25.4541388,-49.5231967
"APS PINHAIS,""R AFRICA, 50"",PINHAIS,PR,,,-25.4424956,-49.1876492"
APS CAMPINA GRANDE DO SUL,JUSCELINO K DE OLIVEIRA 899 - J PAULISTA,CAMPINA GRANDE DO SUL,PR,,,-25.3624085,-49.1005136
"APS LAPA,""AV.JUSCELINO KUBISCHEK DE OLIVEIRA ,479"",LAPA,PR,,,-25.7674528,-49.7278716"
APS MANDIRITUBA,RUA FRANCISCO MANOEL DE OLIVEIRA MENDES,MANDIRITUBA,PR,,,-25.7783808,-49.3286674
"APS ITAPERUÇU,""RUA CRISPIN FURQUIM DE SIQUEIRA, 1780"",ITAPERUÇU,PR,,,-25.2217263,-49.3557926"
"APS ASSIS CHATEAUBRIAND,""AV. SÃO LUIZ, SN"",ASSIS CHATEAUBRIAND,PR,,,-24.4040201,-53.5096499"
"APS CASCAVEL/PR,""RUA SÃO PAULO, 603"",CASCAVEL,PR,,,-24.958141,-53.455614"
APS FOZ DO IGUAÇU,AV PARANA 1661,FOZ DO IGUAÇU,PR,,,-25.5186579,-54.5760295
"APS FRANCISCO BELTRÃO,""RUA GUANABARA, 410"",FRANCISCO BELTRÃO,PR,,,-26.0741797,-53.0469973"
"APS MEDIANEIRA,""RUA RIACHUELO, 897"",MEDIANEIRA,PR,,,-25.2870792,-54.0928623"
"APS PATO BRANCO,""RUA TAPAJÓS, 520"",PATO BRANCO,PR,,,-26.2217701,-52.6727986"
"APS REALEZA,""RUA ARNALDO BUSATO, 3107"",REALEZA,PR,,,-25.7696534,-53.5312202"
"APS TOLEDO/PR,""R RUI BARBOSA, 2989"",TOLEDO,PR,,,-24.71749,-53.7373528"
"APS GUAÍRA/PR,""RUA PARAGUAI, 1145"",GUAÍRA,PR,,,-24.0774755,-54.2525664"
"APS MANGUEIRINHA,""RUA SANTOS DUMONT,, 288"",MANGUEIRINHA,PR,,,-25.9399652,-52.1753392"
"APS MARECHAL CÂNDIDO RONDON,""AV. RIO GRANDE DO SUL, 270"",MARECHAL CÂNDIDO RONDON,PR,,,-24.5625739,-54.0656433"
"APS PALMAS/PR,""AV CLEVELÂNDIA ,684"",PALMAS,PR,,,-26.4887316,-51.9895351"
"APS SANTO ANTONIO DO SUDOESTE,""RUA JESUINO TEODORICO DE ANDRADE,1417"",SANTO ANTONIO DO SUDOESTE,PR,,,-26.0758755,-53.7148827"
"APS DOIS VIZINHOS,""RUA PARANÁ, 1147"",DOIS VIZINHOS,PR,,,-25.7594374,-53.0585064"
"APS PALOTINA,""RUA VEREADOR ANTONIO POZZAN, 1797"",PALOTINA,PR,,,-24.291248,-53.83845359999999"
"APS CORONEL VIVIDA,""RUA ANGELO PERUZZO, 37"",CORONEL VIVIDA,PR,,,-24.7902561,-50.011066"
"APS SÃO MIGUEL DO IGUAÇU,""RUA NEREU RAMOS, 1313"",SÃO MIGUEL DO IGUAÇU,PR,,,-25.3404684,-54.244603"
APS QUEDAS DO IGUAÇU,RUA ROMEIRAS/JACAS - BAIRRO BOM PASTOR,QUEDAS DO IGUAÇU,PR,,,,
"APS APUCARANA,""RUA FIRMAN NETO, 201"",APUCARANA,PR,,,-23.5505865,-51.4525484"
"APS ARAPONGAS,""RUA HARPIA ESQUINA RUA FLAMINGO, S/N"",ARAPONGAS,PR,,,-23.4086795,-51.4375384"
"APS CORNÉLIO PROCÓPIO,""RUA PRESIDENTE CASTELO BRANCO, 210"",CORNÉLIO PROCÓPIO,PR,,,-23.1793273,-50.63597660000001"
"APS IVAIPORÃ,""AV PRESIDENTE TANCREDO NEVES , 1555"",IVAIPORÃ,PR,,,-24.2415081,-51.667627"
"APS JACAREZINHO,""RUA DON FERNANDO TADDEY, 1288"",JACAREZINHO,PR,,,-23.1573415,-49.9739658"
"APS LONDRINA - CENTRO,""RUA PROFESSOR JOAO CANDIDO, 635"",LONDRINA,PR,,,-23.3146648,-51.1612559"
"APS LONDRINA - SHANGRILÁ,""RUA VISCONDE DE MAUA, 161"",LONDRINA,PR,,,-23.3012045,-51.17508309999999"
"APS ROLÂNDIA,""AV EXPEDICIONARIOS, 159"",ROLÂNDIA,PR,,,-23.3118692,-51.3676544"
"APS BANDEIRANTES/PR,""AV. EDELINA MENEGHEL RANDO, 351"",BANDEIRANTES,PR,,,,"
APS CAMBÉ,AVENIDA BRASIL138,CAMBÉ,PR,,,-23.2848821,-51.2815109
APS ANDIRÁ,RUA MINAS GERAIS 385,ANDIRÁ,PR,,,-24.9410784,-53.4365596
APS CAMBARÁ,AV DOMINGOS VILAS 1034,CAMBARÁ,PR,,,-23.0404044,-50.0795577
APS MANDAGUARI,AV MARCOS DIAS 315,MANDAGUARI,PR,,,,
APS SANTO ANTÔNIO DA PLATINA,RUA RUY BARBOSA,SANTO ANTÔNIO DA PLATINA,PR,,,-23.3004027,-50.0833501
"APS CAMPO MOURÃO,""AV. MANOEL MENDES DE CAMARGO, 290"",CAMPO MOURÃO,PR,,,-24.0482966,-52.3865235"
"APS CIANORTE,""AV. GOIÁS, 17"",CIANORTE,PR,,,-23.6579112,-52.6044393"
APS GOIOERÊ,AV. LIBERTADORES DA AMÉRICA. 145,GOIOERÊ,PR,,,-24.1897542,-53.02243929999999
"APS LOANDA,""RUA DEPUTADO ACCIOLY FILHO, 130"",LOANDA,PR,,,-22.9313966,-53.13534509999999"
"APS MARINGÁ,""AV. XV DE NOVEMBRO, 491"",MARINGÁ,PR,,,-23.4239006,-51.9371296"
"APS PARANAVAÍ,""RUA SALGADO FILHO, 789"",PARANAVAÍ,PR,,,-23.0822738,-52.4561376"
"APS UMUARAMA,""RUA INAJÁ, 3610"",UMUARAMA,PR,,,-23.7613886,-53.315436"
"APS COLORADO/PR,""RUA ADINAEL MOREIRA, 11."",COLORADO,PR,,,-22.8402716,-51.98613229999999"
"APS PAIÇANDU,""RUA ONÉSIO FRANCISCO DE FARIA, 755"",PAIÇANDU,PR,,,-23.4634484,-52.0498757"
"APS ASTORGA,""RUA NOSSA SENHORA APARECIDA, 181"",ASTORGA,PR,,,-23.2379551,-51.6694517"
"APS CRUZEIRO DO OESTE,""AV. BRASIL, 3025, JARDIM DA LUZ"",CRUZEIRO DO OESTE,PR,,,-23.7858935,-53.0689728"
"APS NOVA ESPERANÇA,""AV FELIPE CAMARÃO, 945"",NOVA ESPERANÇA,PR,,,-23.1875283,-52.1935759"
APS GUARAPUAVA,R QUINZE DE NOVEMBRO,GUARAPUAVA,PR,,,-25.3910604,-51.4636266
APS IRATI/PR,RUA CORONEL EMILIO GOMES,IRATI,PR,,,-25.4650827,-50.6485414
"APS JAGUARIAIVA,""AV. ANTÔNIO CUNHA, 507"",JAGUARIAIVA,PR,,,-24.254435,-49.7121803"
APS LARANJEIRAS DO SUL,AV. SANTOS DUMONT,LARANJEIRAS DO SUL,PR,,,-25.4039517,-52.4145411
APS PONTA GROSSA,R MARQUES DO PARANA,PONTA GROSSA,PR,,,-25.0985431,-50.1760386
APS TELÊMACO BORBA,R LEOPOLDO VOIGT,TELÊMACO BORBA,PR,,,-24.3293108,-50.6223289
APS UNIÃO DA VITÓRIA,RUA IPIRANGA,UNIÃO DA VITÓRIA,PR,,,-26.2275601,-51.0880256
APS CASTRO,R MARECHAL DEODORO,CASTRO,PR,,,-24.7988726,-49.9940126
APS IBAITI,RUA RUI BARBOSA,IBAITI,PR,,,-23.8519711,-50.190836
APS PITANGA,RUA JOÃO GONÇALVES PADILHA,PITANGA,PR,,,-24.7630436,-51.7648274
APS ARAPOTI,RUA ONDINA BUENO SIQUEIRA,ARAPOTI,PR,,,-24.1445773,-49.8245183
APS IMBITUVA,RUA SANTO ANTONIO 839,IMBITUVA,PR,,,-25.2315852,-50.6133603
APS PRUDENTÓPOLIS,RUA LECIA UCRAINKA,PRUDENTÓPOLIS,PR,,,-25.2209726,-50.9754661
"APS PINHÃO/PR,""RUA LAURO FERREIRA CALDAS, 145"",PINHÃO,PR,,,-25.7000244,-51.66130099999999"
"APS PALMEIRA/PR,""RUA FRITZ KLIEWER, Nº 315"",PALMEIRA,PR,,,,"
APS SÃO MATEUS DO SUL,RUA TENENTE MAX WOLFF FILHO,SÃO MATEUS DO SUL,PR,,,-25.8624421,-50.382915
"APS GOIANA/PE,""TRAVESSA DA MATRIZ, 64"",GOIANA,PE,,,-7.558787199999999,-34.9969802"
APS JABOATÃO,AV RECIFE 797,JABOATÃO,PE,,,,
"APS OLINDA,""R PROFESSOR JOSE CANDIDO PESSOA, Nº 734"",OLINDA,PE,,,-8.0050545,-34.8414233"
"APS PAULISTA/PE,""PC AGAMENON MAGALHAES, Nº 35"",PAULISTA,PE,,,-7.9399278,-34.8839719"
"APS RECIFE - AFOGADOS,""R JOAO CARLOS GUIMARAES, 147"",RECIFE,PE,,,-8.0785974,-34.9059262"
"APS RECIFE - AREIAS,""R APURA, 59"",RECIFE,PE,,,-8.0917157,-34.9349277"
"APS RECIFE - CASA AMARELA,""EST DO ARRAIAL, Nº 3515"",RECIFE,PE,,,-8.0277402,-34.9137428"
APS RECIFE - CORREDOR DO BISPO,R CORREDOR DO BISPO,RECIFE,PE,,,-8.0583775,-34.886683
"APS RECIFE - ENCRUZILHADA,""AV NORTE MIGUEL ARRAES DE ALENCAR, 2008"",RECIFE,PE,,,-8.039061499999999,-34.8884976"
"APS RECIFE - MÁRIO MELO,""AV. MÁRIO MELO, 343"",RECIFE,PE,,,-8.052550199999999,-34.8844005"
"APS RECIFE - PINA,""AV HERCULANO BANDEIRA , Nº 570"",RECIFE,PE,,,-8.087955,-34.88561110000001"
"APS CABO DE SANTO AGOSTINHO,""R DAS FLORENTINAS, Nº 88"",CABO DE SANTO AGOSTINHO,PE,,,-8.2889871,-35.038596"
APS CAMARAGIBE,AV DOUTOR BELMINO CORREIA 2850,CAMARAGIBE,PE,,,-8.022565799999999,-34.9937642
"APS SÃO LOURENÇO DA MATA,""R FREI CANECA, Nº 301/307"",SÃO LOURENÇO DA MATA,PE,,,-7.9986269,-35.0380995"
"APS MORENO,""RUA ORMEZINDA VASCONCELOS, 99"",MORENO,PE,,,-8.1179135,-35.1032095"
APS BEZERROS,TRAV PROFESSOR AMARAL,BEZERROS,PE,,,-8.2386161,-35.7528676
APS CARPINA,AV CONGRESSO EUCARISTICO INTERNACIONAL,CARPINA,PE,,,-7.8457756,-35.242019
"APS CARUARU,""RUI BARBOSA, 250"",CARUARU,PE,,,-8.2803304,-35.9738761"
"APS ESCADA,""R ENGENHEIRO ALVES DE SOUZA, B. MARACUJÁ"",ESCADA,PE,,,,"
APS GRAVATÁ,R LAMARTINE DE FARIAS CASTRO 217,GRAVATÁ,PE,,,-8.1970926,-35.5636866
APS LIMOEIRO,AV DR SEVERINO PINHEIRO,LIMOEIRO,PE,,,-7.8777054,-35.4516995
APS NAZARÉ DA MATA,LOTE EDITE DE MORAES COUTINHO - 3,NAZARÉ DA MATA,PE,,,-7.742571099999999,-35.2284097
APS RIBEIRÃO,RUA JOÃO CARDOZO AYRES FILHO,RIBEIRÃO,PE,,,-8.5081977,-35.3748998
APS SÃO JOAQUIM DO MONTE,PROLONGAMENTO DA AV PRESIDENTE KENNEDY,SÃO JOAQUIM DO MONTE,PE,,,-8.4322384,-35.8075229
APS SURUBIM,RUA ANTONIO DE MEDEIROS SOBRINHO,SURUBIM,PE,,,-7.8358878,-35.7592591
APS TIMBAÚBA,RUA ALCEDO MARROCOS,TIMBAÚBA,PE,,,-7.5137256,-35.3140869
APS VITÓRIA DE SANTO ANTÃO,R CONSELHEIRO SEVERINO FRANCISCO ALVES,VITÓRIA DE SANTO ANTÃO,PE,,,-8.123444,-35.3099699
"APS BELO JARDIM,""CORONEL GEMINIANO MACIEL, 397"",BELO JARDIM,PE,,,-8.3338383,-36.41729530000001"
"APS CUPIRA,""AVENIDA MIGUEL PEREIRA NETO, SN"",CUPIRA,PE,,,-8.6042308,-35.9508112"
APS AFOGADOS DA INGAZEIRA,RUA VITORINO GAUDÊNCIO DA SILVA,AFOGADOS DA INGAZEIRA,PE,,,,
APS ARCOVERDE,RUA CAP. ARLINDO PACHECO DE ALBUQUERQUE,ARCOVERDE,PE,,,-8.4228644,-37.0572697
"APS GARANHUNS,""PRAÇA DOM MOURA, S/Nº"",GARANHUNS,PE,,,-8.8887565,-36.4932506"
APS PALMARES,AV. CORONEL PEDRO PARANHOS,PALMARES,PE,,,-8.6875753,-35.5975212
"APS PESQUEIRA,""RUA 13 DE MAIO, 33"",PESQUEIRA,PE,,,-8.358351299999999,-36.6978105"
"APS BOM CONSELHO,""RUA DOM PEDRO II, 67"",BOM CONSELHO,PE,,,-9.1698778,-36.6804792"
APS CANHOTINHO,AV QUINTINO BOCAIUVA,CANHOTINHO,PE,,,-8.8749961,-36.1974554
"APS PALMEIRINA,""RUA GOVERNADOR JOÃO PESSOA , S/N"",PALMEIRINA,PE,,,-9.0043019,-36.3264897"
"APS SÃO JOSÉ DO EGITO,""RUA JURACI BEZERRA, 111"",SÃO JOSÉ DO EGITO,PE,,,-7.469489499999999,-37.2761237"
APS BARREIROS,RUA ALCEU TELES,BARREIROS,PE,,,-8.813293,-35.187649
"APS ÁGUAS BELAS,""RUA PEDRO DA SILVA, S/Nº"",ÁGUAS BELAS,PE,,,-9.1125796,-37.1206004"
"APS CAETÉS,""RUA MELQUÍADES BORREGO, S/N"",CAETÉS,PE,,,-8.7714854,-36.6229656"
"APS SÃO JOÃO/PE,""RUA JULIO MIGUEL DA SILVA, SN"",SÃO JOÃO,PE,,,-8.8788308,-36.3654859"
"APS SERTÂNIA,""RUA JOÃO ARRUDA FILHO, 201"",SERTÂNIA,PE,,,-8.069804399999999,-37.2679829"
"APS IBIMIRIM,""RUA CASTELO BRANCO, Nº 02"",IBIMIRIM,PE,,,-25.2018038,-49.34310809999999"
"APS TABIRA,""RUA ALFA ALBUQUERQUE MELO CORDEIRO,S/N"",TABIRA,PE,,,-7.5962512,-37.5384888"
"APS CUSTÓDIA,""RUA GETÚLIO VARGAS, 1000"",CUSTÓDIA,PE,,,-8.0815064,-37.6371918"
APS BUIQUE,TRAVESSA CORONEL ANTÔNIO CAVALCANTE,BUIQUE,PE,,,-8.6268345,-37.1554051
APS SÃO BENTO DO UNA,TV. DR. JOÃO VALENÇA,SÃO BENTO DO UNA,PE,,,-8.5212448,-36.4481328
"APS LAJEDO,""AV. CLUBE NÁUTICO CAPIBARIBE, S/N°"",LAJEDO,PE,,,,"
"APS ARARIPINA,""AV. PERIMETRAL GOV JOSÉ MUNIZ RAMOS, S/N"",ARARIPINA,PE,,,-7.569265,-40.5043847"
APS OURICURI,RUA ENG. BALTAZAR CAVALCANTI DE FARIAS,OURICURI,PE,,,-7.8846259,-40.08517
APS PETROLINA,R. TOBIAS BARRETO 03 SET HOSPITALAR UM,PETROLINA,PE,,,-9.3936106,-40.5018
"APS SALGUEIRO,""RUA MARIA NOGUEIRA SAMPAIO ,60"",SALGUEIRO,PE,,,-8.0697844,-39.1213833"
"APS SERRA TALHADA,""RUA ISNÉRIO INÁCIO, 200 - CENTRO"",SERRA TALHADA,PE,,,-7.9939315,-38.2984345"
"APS PETROLÂNDIA/PE,""PRAÇA DOS TRÊS PODERES, S/Nº"",PETROLÂNDIA,PE,,,-7.119561399999999,-34.8817282"
"APS EXU,""RUA JOAQUIM ULISSES, 05"",EXU,PE,,,-7.518732999999999,-39.722336"
"APS FLORES,""RUA BENJAMIN CONSTANT, SN"",FLORES,PE,,,-7.8673844,-37.9701116"
"APS FLORESTA/PE,""RUA JOSE QUIRINO DE SA, 1"",FLORESTA,PE,,,-8.5980455,-38.5773083"
"APS IPUBI,""RUA FREI DAMIÃO, S/N"",IPUBI,PE,,,-7.6498469,-40.1503585"
"APS SÃO JOSÉ DO BELMONTE,""RUA ELVIRA PEREIRA DE BARROS, SN"",SÃO JOSÉ DO BELMONTE,PE,,,-7.8603003,-38.7534806"
"APS TRINDADE/PE,""RUA PRUDENTE DE MORAIS, S/N"",TRINDADE,PE,,,,"
"APS CABROBO,""AV. MOZENIR ARAUJO DE SA, 56"",CABROBO,PE,,,-8.514237099999999,-39.3065293"
"APS BODOCÓ,""AV. FLORIANO PEIXOTO, SN"",BODOCÓ,PE,,,-7.7816607,-39.9409402"
